Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BATHLD013SMTTR,1,BAT-HLD-013-SMT-TR,
"C1, C16, C18, C19, C2, C8, C9",0805,7,0.1u,
"C10, C11, C13, C21",0805,4,22u,
"C12, C14, C3",0805,3,100n,
"C15, C17",0805,2,1u,
"C20, C22, C7",0805,3,10u,
"C4, C5",0805,2,22p,
C6,0805,1,47p,
IC1,ESP32S3WROOM1N4R8,1,ESP32-S3-WROOM-1-N4R8,
IC2,SOT95P280X110-6N,1,TPS54302DDCT,
IC3,BNO085,1,BNO085,
IC4,SON50P350X450X150-17N-D,1,PCF2131TFY,
IC5,SOT230P700X180-4N,1,LM1117MPX-3.3_NOPB,
"J1, J3, J6",1729076,3,1729076,
J2,USB494000A,1,USB4940-00-A,
"J4, J5",19772231,2,1977223-1,
J7,TB00250002BE,1,TB002-500-02BE,
L1,0805,1,6.8u,
"R1, R12, R13, R2, R5",0805,5,10k,
R10,0805,1,22.1k,
"R11, R19, R20",0805,3,4.7k,
R16,0805,1,47k,
"R17, R18",0805,2,5.1k,
"R3, R4",0805,2,4k,
R6,0805,1,49.9,
R7,0805,1,100k,
R8,0805,1,511k,
R9,0805,1,105k,
Y1,ABS07,1,32.768kHz,
