Designator,Mid X,Mid Y,Rotation,Layer
BT1,119.56,-131.26,0.0,top
C1,118.95,-92.7,135.0,top
C10,149.28,-62.74625,270.0,top
C11,151.47,-62.77625,90.0,top
C12,114.4125,-81.4,0.0,top
C13,100.45,-47.0,90.0,top
C14,113.85,-78.05,270.0,top
C15,115.9,-78.05,90.0,top
C16,98.285929,-47.0125,90.0,top
C17,80.51,-56.6675,270.0,top
C18,82.76,-56.6675,270.0,top
C19,88.9625,-76.0,180.0,top
C2,120.55,-91.15,135.0,top
C20,82.38,-76.95,0.0,top
C21,83.66,-64.92,90.0,top
C22,82.7,-101.51,0.0,top
C3,109.45,-96.05,180.0,top
C4,125.0,-101.7,315.0,top
C5,126.75,-99.85,315.0,top
C6,145.34,-57.27625,0.0,top
C7,149.51,-46.0,0.0,top
C8,150.24,-51.82625,270.0,top
C9,149.51,-48.05,0.0,top
D1,83.52,-68.76,180.0,top
IC1,114.5,-51.0,0.0,top
IC2,147.34,-51.32625,270.0,top
IC3,114.7,-96.813,0.0,top
IC4,119.7,-78.1,270.0,top
IC6,76.04,-73.62,90.0,top
J1,75.25,-105.0,270.0,top
J2,78.2855,-85.74,270.0,top
J4,87.45,-49.33,270.0,top
J5,94.55,-70.4,270.0,top
J7,131.79,-49.87625,0.0,top
J8,161.912,-96.2,90.0,top
J9,162.0,-78.7,90.0,top
L3,150.3,-57.27625,270.0,top
Q1,140.64,-47.57625,90.0,top
Q2,83.31,-73.09,90.0,top
R1,114.4,-102.35,90.0,top
R10,146.3,-62.35625,270.0,top
R11,92.9,-59.65,45.0,top
R12,120.65,-69.3,90.0,top
R13,118.6,-69.3,90.0,top
R14,139.66,-53.62625,270.0,top
R15,81.25,-64.94,90.0,top
R16,111.75,-78.05,270.0,top
R17,84.475,-82.425,225.0,top
R18,84.5,-89.475,315.0,top
R19,96.85,-59.15,45.0,top
R2,78.41,-56.6675,90.0,top
R20,100.75,-58.75,45.0,top
R3,134.6,-59.65,135.0,top
R4,138.226357,-60.387288,135.0,top
R5,130.7,-58.65,135.0,top
R6,144.14,-62.29625,90.0,top
R7,145.26,-59.36625,0.0,top
R8,144.51483,-49.40142,270.0,top
R9,144.51483,-53.20142,270.0,top
Y1,122.85,-97.8,225.0,top
Z1,141.65,-51.40625,270.0,top
